Row,Column,Error Message
"2","Academic Year","Academic Year ""2026-2027"" does not exist."
"3","Academic Year","Academic Year ""2026-2027"" does not exist."
"4","Academic Year","Academic Year ""2026-2027"" does not exist."
"4","Class/Section/Medium","Class ""Class 2"" / Section ""B"" / Medium ""Gujarati"" not found."
"5","Academic Year","Academic Year ""2026-2027"" does not exist."
"5","Class/Section/Medium","Class ""Class 2"" / Section ""A"" / Medium ""English"" not found."
"6","Academic Year","Academic Year ""2026-2027"" does not exist."
"6","Class/Section/Medium","Class ""Class 3"" / Section ""A"" / Medium ""English"" not found."
"7","Academic Year","Academic Year ""2026-2027"" does not exist."
"7","Class/Section/Medium","Class ""Class 3"" / Section ""B"" / Medium ""Gujarati"" not found."
"8","Academic Year","Academic Year ""2026-2027"" does not exist."
"8","Class/Section/Medium","Class ""Class 4"" / Section ""A"" / Medium ""English"" not found."
"9","Academic Year","Academic Year ""2026-2027"" does not exist."
"9","Class/Section/Medium","Class ""Class 4"" / Section ""B"" / Medium ""English"" not found."
"10","Academic Year","Academic Year ""2026-2027"" does not exist."
"10","Class/Section/Medium","Class ""Class 5"" / Section ""A"" / Medium ""Gujarati"" not found."
"11","Academic Year","Academic Year ""2026-2027"" does not exist."
"11","Class/Section/Medium","Class ""Class 5"" / Section ""B"" / Medium ""English"" not found."
